Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[disease]	Characteristics[sex]	Characteristics[cell type]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[cell line]
HEL9217_BR1_TR1_RNA	ERS715247	Homo sapiens	HEL9217	acute erythroleukemia	male	erythroblast	cell	P-MTAB-47669	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	HEL9217_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	HEL9217_BR1_TR1_RNA	sequencing assay	ERX1103422	ERR1024550_1	16493_1_6.cram	ERR1024550	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1024550/ERR1024550_1.fastq.gz	HEL9217
HEL9217_BR1_TR1_RNA	ERS715247	Homo sapiens	HEL9217	acute erythroleukemia	male	erythroblast	cell	P-MTAB-47669	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	HEL9217_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	HEL9217_BR1_TR1_RNA	sequencing assay	ERX1103422	ERR1024550_2	16493_1_6.cram	ERR1024550	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1024550/ERR1024550_2.fastq.gz	HEL9217
K562_BR1_TR1_RNA	ERS715184	Homo sapiens	K562	chronic myelogenous leukemia	female	  	cell	P-MTAB-47669	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	K562_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	K562_BR1_TR1_RNA	sequencing assay	ERX1078734	ERR999698_1	16269_4_1.cram	ERR999698	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999698/ERR999698_1.fastq.gz	K562
K562_BR1_TR1_RNA	ERS715184	Homo sapiens	K562	chronic myelogenous leukemia	female	  	cell	P-MTAB-47669	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	K562_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	K562_BR1_TR1_RNA	sequencing assay	ERX1078734	ERR999698_2	16269_4_1.cram	ERR999698	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999698/ERR999698_2.fastq.gz	K562
K562_BR1_TR1_RNA	ERS715184	Homo sapiens	K562	chronic myelogenous leukemia	female	  	cell	P-MTAB-47669	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	K562_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	K562_BR1_TR1_RNA	sequencing assay	ERX1103417	ERR1024545_1	16493_1_1.cram	ERR1024545	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1024545/ERR1024545_1.fastq.gz	K562
K562_BR1_TR1_RNA	ERS715184	Homo sapiens	K562	chronic myelogenous leukemia	female	  	cell	P-MTAB-47669	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	K562_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	K562_BR1_TR1_RNA	sequencing assay	ERX1103417	ERR1024545_2	16493_1_1.cram	ERR1024545	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1024545/ERR1024545_2.fastq.gz	K562
KU812_BR1_TR1_RNA	ERS715243	Homo sapiens	KU812	chronic myelogenous leukemia	male	myeloblast	cell	P-MTAB-47670	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	KU812_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	KU812_BR1_TR1_RNA	sequencing assay	ERX1078735	ERR999699_1	16269_4_2.cram	ERR999699	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999699/ERR999699_1.fastq.gz	KU812
KU812_BR1_TR1_RNA	ERS715243	Homo sapiens	KU812	chronic myelogenous leukemia	male	myeloblast	cell	P-MTAB-47670	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	KU812_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	KU812_BR1_TR1_RNA	sequencing assay	ERX1078735	ERR999699_2	16269_4_2.cram	ERR999699	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999699/ERR999699_2.fastq.gz	KU812
KU812_BR1_TR1_RNA	ERS715243	Homo sapiens	KU812	chronic myelogenous leukemia	male	myeloblast	cell	P-MTAB-47670	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	KU812_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	KU812_BR1_TR1_RNA	sequencing assay	ERX1103418	ERR1024546_1	16493_1_2.cram	ERR1024546	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1024546/ERR1024546_1.fastq.gz	KU812
KU812_BR1_TR1_RNA	ERS715243	Homo sapiens	KU812	chronic myelogenous leukemia	male	myeloblast	cell	P-MTAB-47670	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	KU812_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	KU812_BR1_TR1_RNA	sequencing assay	ERX1103418	ERR1024546_2	16493_1_2.cram	ERR1024546	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1024546/ERR1024546_2.fastq.gz	KU812
KU812_BR2_TR1_RNA	ERS715244	Homo sapiens	KU812	chronic myelogenous leukemia	male	myeloblast	cell	P-MTAB-47670	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	KU812_BR2_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	KU812_BR2_TR1_RNA	sequencing assay	ERX1078736	ERR999700_1	16269_4_3.cram	ERR999700	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999700/ERR999700_1.fastq.gz	KU812
KU812_BR2_TR1_RNA	ERS715244	Homo sapiens	KU812	chronic myelogenous leukemia	male	myeloblast	cell	P-MTAB-47670	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	KU812_BR2_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	KU812_BR2_TR1_RNA	sequencing assay	ERX1078736	ERR999700_2	16269_4_3.cram	ERR999700	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999700/ERR999700_2.fastq.gz	KU812
KU812_BR2_TR1_RNA	ERS715244	Homo sapiens	KU812	chronic myelogenous leukemia	male	myeloblast	cell	P-MTAB-47670	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	KU812_BR2_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	KU812_BR2_TR1_RNA	sequencing assay	ERX1103419	ERR1024547_1	16493_1_3.cram	ERR1024547	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1024547/ERR1024547_1.fastq.gz	KU812
KU812_BR2_TR1_RNA	ERS715244	Homo sapiens	KU812	chronic myelogenous leukemia	male	myeloblast	cell	P-MTAB-47670	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	KU812_BR2_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	KU812_BR2_TR1_RNA	sequencing assay	ERX1103419	ERR1024547_2	16493_1_3.cram	ERR1024547	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1024547/ERR1024547_2.fastq.gz	KU812
Meg01_BR1_TR1_RNA	ERS715245	Homo sapiens	MEG01	chronic myelogenous leukemia	male	megakaryoblast	cell	P-MTAB-47671	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	Meg01_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	Meg01_BR1_TR1_RNA	sequencing assay	ERX1078737	ERR999701_1	16269_4_4.cram	ERR999701	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999701/ERR999701_1.fastq.gz	MEG01
Meg01_BR1_TR1_RNA	ERS715245	Homo sapiens	MEG01	chronic myelogenous leukemia	male	megakaryoblast	cell	P-MTAB-47671	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	Meg01_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	Meg01_BR1_TR1_RNA	sequencing assay	ERX1078737	ERR999701_2	16269_4_4.cram	ERR999701	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999701/ERR999701_2.fastq.gz	MEG01
Meg01_BR1_TR1_RNA	ERS715245	Homo sapiens	MEG01	chronic myelogenous leukemia	male	megakaryoblast	cell	P-MTAB-47671	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	Meg01_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	Meg01_BR1_TR1_RNA	sequencing assay	ERX1103420	ERR1024548_1	16493_1_4.cram	ERR1024548	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1024548/ERR1024548_1.fastq.gz	MEG01
Meg01_BR1_TR1_RNA	ERS715245	Homo sapiens	MEG01	chronic myelogenous leukemia	male	megakaryoblast	cell	P-MTAB-47671	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	Meg01_BR1_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	Meg01_BR1_TR1_RNA	sequencing assay	ERX1103420	ERR1024548_2	16493_1_4.cram	ERR1024548	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1024548/ERR1024548_2.fastq.gz	MEG01
Meg01_BR2_TR1_RNA	ERS715246	Homo sapiens	MEG01	chronic myelogenous leukemia	male	megakaryoblast	cell	P-MTAB-47671	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	Meg01_BR2_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	Meg01_BR2_TR1_RNA	sequencing assay	ERX1078738	ERR999702_1	16269_4_5.cram	ERR999702	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999702/ERR999702_1.fastq.gz	MEG01
Meg01_BR2_TR1_RNA	ERS715246	Homo sapiens	MEG01	chronic myelogenous leukemia	male	megakaryoblast	cell	P-MTAB-47671	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	Meg01_BR2_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	Meg01_BR2_TR1_RNA	sequencing assay	ERX1078738	ERR999702_2	16269_4_5.cram	ERR999702	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/ERR999702/ERR999702_2.fastq.gz	MEG01
Meg01_BR2_TR1_RNA	ERS715246	Homo sapiens	MEG01	chronic myelogenous leukemia	male	megakaryoblast	cell	P-MTAB-47671	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	Meg01_BR2_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	Meg01_BR2_TR1_RNA	sequencing assay	ERX1103421	ERR1024549_1	16493_1_5.cram	ERR1024549	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1024549/ERR1024549_1.fastq.gz	MEG01
Meg01_BR2_TR1_RNA	ERS715246	Homo sapiens	MEG01	chronic myelogenous leukemia	male	megakaryoblast	cell	P-MTAB-47671	Rebecca Randle	P-MTAB-47673	Rebecca Randle	P-MTAB-47674	Nathalie Smerdon 	Meg01_BR2_TR1_RNA	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	180	50	5'-3'-5'-3'	P-MTAB-47675	SC	Meg01_BR2_TR1_RNA	sequencing assay	ERX1103421	ERR1024549_2	16493_1_5.cram	ERR1024549	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1024549/ERR1024549_2.fastq.gz	MEG01
